quote,author,tags,quote_clean,meta
"“If I should ever die, God forbid, let this be my epitaph:THE ONLY PROOF HE NEEDEDFOR THE EXISTENCE OF GODWAS MUSIC”",kurt vonnegut,"['blues', 'god', 'life', 'music']","“if i should ever die, god forbid, let this be my epitaph:the only proof he neededfor the existence of godwas music”","Author: kurt vonnegut, Tags: blues, god, life, music"
“Why are women... so much more interesting to men than men are to women?”,Virginia Woolf,"['men', 'rescuing', 'women']",“why are women... so much more interesting to men than men are to women?”,"Author: Virginia Woolf, Tags: men, rescuing, women"
"“I do things like get in a taxi and say, ""The library, and step on it.”","David Foster Wallace,","['books', 'infinite-jest']","“i do things like get in a taxi and say, ""the library, and step on it.”","Author: David Foster Wallace,, Tags: books, infinite-jest"
"“I was thinking about the first time I ever saw you,"" he said, ""and how after that I couldn't forget you. I wanted to, but I couldn't stop myself. I forced Hodge to let me be the one who came to find you and bring you back to the Institue. And even back then, in that stupid coffee shop, when I saw you sitting on that couch with Simon, even then that felt wrong to me-- I should have been the one sitting with you. The one who made you laugh like that. I couldn't get rid of that feeling. That it should have been me. And the more I knew you, the more I felt it--it had never been like that for me before. I'd always wanted a girl and then gotten to know her and not wanted her anymore, but with you the feeling just got stronger and stronger until that night when you showed up at Renwick's and I knew.”","Cassandra Clare,","['mortal-instruments', 'teen-fantasy']","“i was thinking about the first time i ever saw you,"" he said, ""and how after that i couldn't forget you. i wanted to, but i couldn't stop myself. i forced hodge to let me be the one who came to find you and bring you back to the institue. and even back then, in that stupid coffee shop, when i saw you sitting on that couch with simon, even then that felt wrong to me-- i should have been the one sitting with you. the one who made you laugh like that. i couldn't get rid of that feeling. that it should have been me. and the more i knew you, the more i felt it--it had never been like that for me before. i'd always wanted a girl and then gotten to know her and not wanted her anymore, but with you the feeling just got stronger and stronger until that night when you showed up at renwick's and i knew.”","Author: Cassandra Clare,, Tags: mortal-instruments, teen-fantasy"
"“And so with the sunshine and the great bursts of leaves growing on the trees, just as things grow in fast movies, I had that familiar conviction that life was beginning over again with the summer.”","F. Scott Fitzgerald,","['renewal', 'summer']","“and so with the sunshine and the great bursts of leaves growing on the trees, just as things grow in fast movies, i had that familiar conviction that life was beginning over again with the summer.”","Author: F. Scott Fitzgerald,, Tags: renewal, summer"
“A book must be the axe for the frozen sea within us.”,Franz Kafka,['books'],“a book must be the axe for the frozen sea within us.”,"Author: Franz Kafka, Tags: books"
“Solitude is fine but you need someone to tell that solitude is fine.”,HonorÃ© de Balzac,"['loneliness', 'society', 'solitude']",“solitude is fine but you need someone to tell that solitude is fine.”,"Author: HonorÃ© de Balzac, Tags: loneliness, society, solitude"
"“If you're lonely when you're alone, you're in bad company.”",Jean-Paul Sartre,"['loneliness', 'solitude']","“if you're lonely when you're alone, you're in bad company.”","Author: Jean-Paul Sartre, Tags: loneliness, solitude"
"“Today a reader, tomorrow a leader.”",Margaret Fuller,"['read', 'reader', 'reading']","“today a reader, tomorrow a leader.”","Author: Margaret Fuller, Tags: read, reader, reading"
"“One cannot think well, love well, sleep well, if one has not dined well.”","Virginia Woolf,","['food', 'love']","“one cannot think well, love well, sleep well, if one has not dined well.”","Author: Virginia Woolf,, Tags: food, love"
"“Goodbye,"" said the fox. ""And now here is my secret, a very simple secret: It is only with the heart that one can see rightly; what is essential is invisible to the eye.”",Antoine de Saint-ExupÃ©ry,['most-famous-novella'],"“goodbye,"" said the fox. ""and now here is my secret, a very simple secret: it is only with the heart that one can see rightly; what is essential is invisible to the eye.”","Author: Antoine de Saint-ExupÃ©ry, Tags: most-famous-novella"
